10-20 12:36:38.076  3315  3354 I TestRunner: started: navigate_to_start_order_from_accompaniment_menu(com.example.lunchtray.NavigationTests)
10-20 12:36:38.078  3315  3315 D LifecycleMonitor: Lifecycle status change: androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity@ebc892 in: DESTROYED
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.078  3315  3315 V ActivityScenario: Update currentActivityStage to DESTROYED, currentActivity=null
10-20 12:36:38.079   530  3369 I RecoverySnapshotLstnrs: Registered listener for agent with uid 10097
10-20 12:36:38.080  3315  3370 D OpenGLRenderer: endAllActiveAnimators on 0x703b37933ad0 (RippleDrawable) with handle 0x703a478fb2c0
10-20 12:36:38.088  1171  2820 I MobileDataHub: Scheduling periodic tasks
10-20 12:36:38.088  1171  2820 W MobileDataHub: [Service] appsupload-periodic periodic task disabled
10-20 12:36:38.104   530  3508 W InputManager-JNI: Input channel object 'fb8b3f6 com.example.lunchtray/androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity (client)' was disposed without first being removed with the input manager!
10-20 12:36:38.105  1171  2386 I MdiSyncModule: flag handling is skipping irrelevant intent.
10-20 12:36:38.107   461  3398 W ServiceManager: Permission failure: android.permission.SYSTEM_CAMERA from uid=10097 pid=1171
10-20 12:36:38.111   461  3398 W ServiceManager: Permission failure: android.permission.SYSTEM_CAMERA from uid=10097 pid=1171
10-20 12:36:38.113   461  3398 W ServiceManager: Permission failure: android.permission.SYSTEM_CAMERA from uid=10097 pid=1171
10-20 12:36:38.113  1101  1101 I GCoreUlr: Unbound from all signal providers. [CONTEXT service_id=22 ]
10-20 12:36:38.113  1101  1101 I GCoreUlr: Stopping handler for UlrDispSvcFast [CONTEXT service_id=22 ]
10-20 12:36:38.114   461  3398 W ServiceManager: Permission failure: android.permission.SYSTEM_CAMERA from uid=10097 pid=1171
10-20 12:36:38.130  1171  2666 I OcrModelUpStIntentOp: Downloading text recognizer
10-20 12:36:38.132  1171  2820 I SystemUpdate: [Installation,ReceiverIntentOperation] Received intent: Intent { act=com.google.gservices.intent.action.GSERVICES_CHANGED flg=0x1000010 pkg=com.google.android.gms cmp=com.google.android.gms/.chimera.GmsIntentOperationService$PersistentInternalReceiver }.
10-20 12:36:38.140  1101  1232 I GCoreUlr: DispatchingService ignoring Intent { act=android.net.wifi.WIFI_STATE_CHANGED flg=0x44000010 (has extras) } because ULR inactive [CONTEXT service_id=22 ]
10-20 12:36:38.150  3315  3354 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-20 12:36:38.173  1171  2666 I SystemUpdate: [Execution,InstallationEventIntentOperation] Handling event of type 2.
10-20 12:36:38.190  3315  3315 D LifecycleMonitor: Lifecycle status change: androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@ad94435 in: PRE_ON_CREATE
10-20 12:36:38.191  3315  3315 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity (has extras) }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@ad94435
10-20 12:36:38.191  3315  3315 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity (has extras) }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@ad94435
10-20 12:36:38.191  3315  3315 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity (has extras) }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@ad94435
10-20 12:36:38.191  3315  3315 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity (has extras) }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@ad94435
